id,tick,team_id,rank,points
29041,0,17,1,0
29042,0,8,1,0
29043,0,2,1,0
29044,0,23,1,0
29045,0,3,1,0
29046,0,25,1,0
29047,0,4,1,0
29048,0,22,1,0
29049,0,5,1,0
29050,0,19,1,0
29051,0,6,1,0
29052,0,11,1,0
29053,0,7,1,0
29054,0,24,1,0
29055,0,16,1,0
29056,0,9,1,0
29057,0,10,1,0
29058,0,12,1,0
29059,0,13,1,0
29060,0,14,1,0
29061,0,15,1,0
29062,0,18,1,0
29063,0,20,1,0
29064,0,21,1,0
29065,0,26,1,0
29066,0,27,1,0
29067,0,37,1,0
29068,0,28,1,0
29069,0,29,1,0
29070,0,30,1,0
29071,0,1,1,0
29072,0,31,1,0
29073,0,39,1,0
29074,0,32,1,0
29075,0,33,1,0
29076,0,34,1,0
29077,0,35,1,0
29078,0,36,1,0
29079,0,38,1,0
29080,0,40,1,0
29081,1,33,1,227.6
29082,1,2,2,127.6
29083,1,23,2,127.6
29084,1,25,2,127.6
29085,1,19,2,127.6
29086,1,6,2,127.6
29087,1,9,2,127.6
29088,1,14,2,127.6
29089,1,15,2,127.6
29090,1,27,2,127.6
29091,1,28,2,127.6
29092,1,29,2,127.6
29093,1,39,2,127.6
29094,1,34,2,127.6
29095,1,35,2,127.6
29096,1,38,2,127.6
29097,1,22,17,120
29098,1,16,17,120
29099,1,10,17,120
29100,1,20,17,120
29101,1,37,17,120
29102,1,30,17,120
29103,1,1,17,120
29104,1,32,17,120
29105,1,3,25,107.6
29106,1,12,25,107.6
29107,1,13,27,100
29108,1,36,27,100
29109,1,11,29,97.6
29110,1,8,30,90
29111,1,5,30,90
29112,1,24,30,90
29113,1,26,30,90
29114,1,18,34,80
29115,1,17,35,77.6
29116,1,7,35,77.6
29117,1,31,37,70
29118,1,40,38,67.6
29119,1,21,39,60
29120,1,4,40,40
29121,2,33,1,512.4
29122,2,15,2,377.2
29123,2,25,3,270.4
29124,2,19,3,270.4
29125,2,9,3,270.4
29126,2,27,3,270.4
29127,2,29,3,270.4
29128,2,34,3,270.4
29129,2,35,3,270.4
29130,2,28,10,262.8
29131,2,30,10,262.8
29132,2,38,10,262.8
29133,2,39,13,255.2
29134,2,32,13,255.2
29135,2,2,15,247.6
29136,2,22,15,247.6
29137,2,6,15,247.6
29138,2,10,15,247.6
29139,2,14,15,247.6
29140,2,23,20,240.4
29141,2,16,21,240
29142,2,20,21,240
29143,2,37,21,240
29144,2,1,21,240
29145,2,12,25,230.4
29146,2,36,26,220
29147,2,11,27,210.4
29148,2,3,28,200.4
29149,2,7,28,200.4
29150,2,13,30,195.2
